state,county,population,zips
WA,Pierce,809950,98580 98387 98338 98332 98335 98444 98445 98447 98448 98304 98321 98332 98375 98374 98373 98388 98424 98396 98003 98354 98390 98372 98374 98327 98372 98371 98372 98375 98373 98360 98338 98344 98385 98349 98351 98433 98303 98466 98467 98464 98580 98387 98338 98580 98558 98404 98371 98443 98332 98390 98332 98328 98329 98360 98349 98329 98394 98395 98387 98445 98360 98391 98329 98387 98375 98446 98372 98371 98374 98373 98352 98360 98374 98329 98394 98391 98323 98396 98332 98335 98499 98498 98496 98497 98335 98422 98349 98360 98330 98439 98438 98439 98433 98422 98421 98402 98403 98404 98405 98408 98409 98406 98407 98465 98416 98418 98444 98401 98411 98412 98413 98415 98417 98419 98471 98481 98490 98407 98466 98349 98338 98422 98371 98373 98446 98328 98333 98422 98424 98022 98388 98321 98445 98446 98404 98445 98328 98335 98391
WA,Kittitas,31466,98941 98068 98925 98934 98926 98925 98926 98950 98946 98943 98922 98068 98943 98922 98940
WA,Lincoln,5359,99032 99117 99122 99029 99103 99159 99185 99134
WA,Snohomish,791311,98223 98258 98270 98290 98290 98296 98290 98272 98223 98026 98020 98241 98290 98292 98087 98204 98207 98204 98205 98203 98201 98208 98275 98206 98213 98292 98292 98252 98256 98223 98258 98292 98272 98223 98223 98292 98271 98258 98205 98087 98012 98208 98290 98291 98296 98272 98271 98270 98012 98082 98021 98036 98012 98292 98292 98087 98037 98290 98252 98036 98223 98251 98223 98252 98021 98012 98223 98087 98037 98037 98036 98046 98272 98296 98012 98208 98026 98201 98290 98205 98223 98290 98036 98258 98290 98294 98296 98012 98072 98026 98087 98294 98293 98223 98271 98251 98043 98252 98021 98296 98072 98077 98012 98026 98294 98020 98292 98208 98275 98258 98205
WA,Thurston,305666,98589 98576 98501 98502 98506 98504 98507 98508 98511 98530 98503 98516 98509 98579 98597 98513 98579 98531 98503 98516 98501 98512 98576 98597
WA,Clallam,56826,98382 98382 98357 98362 98326 98382 98331 98382 98381 98382 98363 98362 98382
WA,Ferry,3102,99166 99121 99146 99138 99166 99166 99150 99118 99166 99160 99141 99141 99140 99138
WA,Okanogan,21813,98846 98841 98819 98834 98812 99124 99116 98841 98840 98855 99116 98827 99155 98862 99155 98841 98840 98829 98849 98844 98856
WA,Wahkiakum,3507,98643 98643 98612 98612 98612 98647 98612 98638 98612 98621
WA,Whatcom,200049,98230 98229 98244 98248 98240 98247 98276 98248 98220 98264 98229 98225 98226 98228 98295 98244 98266 98247 98244 98247 98295 98225 98226 98229 98230 98231 98281 98244 98266 98244
WA,Kitsap,354602,98312 98370 98312 98366 98384 98386 98392 98370 98342 98346 98370 98312 98315 98346 98311 98370 98383 98367 98370 98312 98367 98110 98061 98311 98310 98393 98312 98314 98310 98367 98337 98312 98383 98310 98366 98367 98359 98367 98322 98366 98366 98380 98366 98346 98345 98340 98346
WA,Whitman,42802,99128 99171 99179 99158 99161 99170 99111 99164 99163 99033 99111 99174 99130 99113 99149 99143 99163 99102 99017 99125
WA,Skagit,117275,98221 98267 98233 98257 98283 98274 98263 98284 98284 98237 98274 98232 98274 98273 98274 98229 98233 98232 98284 98273 98235 98284 98273 98255 98284 98238
WA,Spokane,571417,99030 99021 99018 99208 99218 99251 99031 99224 99001 99012 99021 99005 99206 99016 99212 99216 99037 99211 99213 99215 99011 99019 99016 99004 99012 99039 99201 99203 99202 99205 99204 99207 99208 99224 99223 99001 99212 99209 99210 99219 99220 99252 99256 99258 99260 99022 99208 99004 99014 99006 99206 99212 99025 99027
WA,Klickitat,10935,98673 98617 98635 98628 98635 99322 98613 98619 99356 98650 98672 98620 98605 98620
WA,Lewis,59362,98531 98564 98531 98565 98532 98596 98572 98522 98355 98593 98532 98570 98591 98361 98356
WA,Cowlitz,100819,98632 98626 98632 98625 98626 98632 98611 98632 98581 98674
WA,Clark,395511,98601 98675 98604 98604 98607 98661 98684 98664 98665 98660 98661 98662 98663 98682 98683 98687 98671 98642 98686 98606 98665 98604 98682 98607 98662 98686 98666 98668 98604 98685 98686 98685 98606 98662 98629 98642 98642 98662 98675 98642 98604 98665 98685
WA,Franklin,81589,99326 99343 99343 99301 99326 99301 99302 99335
WA,Grant,77567,98837 98837 98832 99133 98857 99115 98848 98824 99349 98851 99357 99135 98860 98837 99123 99133 98851 99115 98848 98823 99349
WA,Stevens,11496,99109 99148 99101 99114 99110 99126 99151 99157 99141 99173 99181
WA,Grays Harbor,70267,98547 98520 98569 98541 98571 98520 98563 98537 98595 98520 98563 98583 98541 98520 98587 98587 98535 98536 98595 98520 98568 98550 98557 98569 98559 98541 98571 98562 98520 98331 98550 98541 98552 98575 98566 98526 98552 98563 98587
WA,Island,58151,98282 98249 98260 98239 98277 98278 98236 98277
WA,Skamania,5242,98648 98639 98610 98648
WA,Pend Oreille,3734,99156 99153 99119 99139 99152
WA,Chelan,94325,98815 98831 98801 98822 98801 98817 98801 98816 98826
WA,Yakima,241392,98947 98948 98901 98903 98902 98908 98904 98907 98936 98901 98935 98930 98901 98951 98908 98923 98932 98903 98951 98937 98953 98937 98938 98944 98952 98935 98942 98937 98908 98903 98908 98909 98903 98939 98951 98937 98908 98921 98953 98933
